Reporting_Economy,ProductSector,Partner_Economy,2016,2017,2018,2019,2020,2021,2022
Bangladesh,SI3_AGG - AGFO - Food,World,903,904,891,945,940,1236,
Bangladesh,SI3_AGG - MI - Fuels and mining products,World,139,180,157,123,109,258,
Bangladesh,SI3_AGG - MIFU - Fuels,World,52,54,26,20,23,65,
Bangladesh,SI3_AGG - MA - Manufactures,World,32891,34444,37893,37951,32229,42288,
Bangladesh,SI3_AGG - MAIS - Iron and steel,World,6,7,10,7,17,73,
Bangladesh,SI3_AGG - MACH - Chemicals,World,133,137,181,173,158,302,
Bangladesh,SI3_AGG - MACHPH - Pharmaceuticals,World,60,75,93,87,87,121,
Bangladesh,SI3_AGG - MAMT - Machinery and transport equipment,World,179,186,233,270,249,452,
Bangladesh,SI3_AGG - MAMTOF - Office and telecom equipment,World,15,13,16,22,23,25,
Bangladesh,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,4,4,4,3,4,8,
Bangladesh,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,9,7,11,15,13,15,
Bangladesh,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,3,2,2,5,6,2,
Bangladesh,SI3_AGG - MAMTTE - Transport equipment,World,104,96,120,169,161,329,
Bangladesh,SI3_AGG - MAMTAU - Automotive products,World,0,0,1,1,1,0,
Bangladesh,SI3_AGG - MATE - Textiles,World,1564,1677,1616,1578,1708,2135,
Bangladesh,SI3_AGG - MACL - Clothing,World,28668,29213,32927,34026,27471,35812,
Barbados,SI3_AGG - TO - Total merchandise,World,517,485,448,444,345,350,546
Barbados,SI3_AGG - AG - Agricultural products,World,95,109,96,89,82,96,
Barbados,SI3_AGG - AGFO - Food,World,95,109,96,89,82,96,
Barbados,SI3_AGG - MI - Fuels and mining products,World,79,110,125,134,98,90,
Barbados,SI3_AGG - MIFU - Fuels,World,77,108,121,127,92,84,
Barbados,SI3_AGG - MA - Manufactures,World,337,261,226,217,161,161,
Barbados,SI3_AGG - MAIS - Iron and steel,World,0,1,0,0,0,0,
Barbados,SI3_AGG - MACH - Chemicals,World,72,72,63,55,61,53,
Barbados,SI3_AGG - MACHPH - Pharmaceuticals,World,46,35,30,27,24,25,
Barbados,SI3_AGG - MAMT - Machinery and transport equipment,World,30,30,20,20,23,18,
Barbados,SI3_AGG - MAMTOF - Office and telecom equipment,World,8,4,3,3,2,3,
Barbados,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1,1,1,1,1,1,
Barbados,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,7,2,2,2,0,1,
Barbados,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,1,1,1,
Barbados,SI3_AGG - MAMTTE - Transport equipment,World,8,9,4,7,9,5,
Barbados,SI3_AGG - MAMTAU - Automotive products,World,3,3,3,3,2,2,
Barbados,SI3_AGG - MATE - Textiles,World,3,3,2,2,2,2,
Barbados,SI3_AGG - MACL - Clothing,World,13,16,9,6,4,6,
Belarus,SI3_AGG - TO - Total merchandise,World,23414,29267,33726,32955,29179,39762,23323
Belarus,SI3_AGG - AG - Agricultural products,World,4580,5534,6000,6414,6686,8060,
Belarus,SI3_AGG - AGFO - Food,World,4016,4827,5047,5336,5516,6632,
Belarus,SI3_AGG - MI - Fuels and mining products,World,5139,7255,8846,7216,4047,7338,
Belarus,SI3_AGG - MIFU - Fuels,World,4849,6891,8477,6821,3680,6943,
